id,user_id,order_date,status,_etl_loaded_at
1,1,2018-01-01,returned,2023-11-18 02:11:07.777 -0800
2,3,2018-01-02,completed,2023-11-18 02:11:07.777 -0800
3,94,2018-01-04,completed,2023-11-18 02:11:07.777 -0800
4,50,2018-01-05,completed,2023-11-18 02:11:07.777 -0800
5,74,2018-01-05,completed,2023-11-18 02:11:07.777 -0800
6,54,2018-01-07,completed,2023-11-18 02:11:07.777 -0800
7,88,2018-01-09,completed,2023-11-18 02:11:07.777 -0800
8,2,2018-01-11,returned,2023-11-18 02:11:07.777 -0800
9,53,2018-01-12,completed,2023-11-18 02:11:07.777 -0800
10,7,2018-01-14,completed,2023-11-18 02:11:07.777 -0800
11,99,2018-01-14,completed,2023-11-18 02:11:07.777 -0800
12,59,2018-01-15,completed,2023-11-18 02:11:07.777 -0800
13,84,2018-01-17,completed,2023-11-18 02:11:07.777 -0800
14,40,2018-01-17,returned,2023-11-18 02:11:07.777 -0800
15,25,2018-01-17,completed,2023-11-18 02:11:07.777 -0800
16,39,2018-01-18,completed,2023-11-18 02:11:07.777 -0800
17,71,2018-01-18,completed,2023-11-18 02:11:07.777 -0800
18,64,2018-01-20,returned,2023-11-18 02:11:07.777 -0800
19,54,2018-01-22,completed,2023-11-18 02:11:07.777 -0800
20,85,2023-11-23,returned,2023-11-18 02:11:07.777 -0800
21,90,2023-11-23,completed,2023-11-18 02:11:07.777 -0800
22,100,2023-11-20,completed,2024-01-02 22:40:12.81704-06
23,113,2023-11-20,returned,2024-01-07 23:02:50.889987-06
24,107,2023-11-20,completed,2023-11-20 22:03:08.034 -0800
25,108,2023-11-30,completed,2023-11-30 22:46:34.413 -0800
26,109,2023-11-30,completed,2024-01-01 10:23:52.644116-06
27,110,2023-11-30,completed,2024-01-02 12:40:52.644116-06
28,111,2023-11-30,completed,2024-01-02 12:40:52.644116-06
29,112,2023-11-30,completed,2024-02-14 15:14:38.417 -0600
30,117,2023-11-30,completed,2024-02-15 14:33:55.549 -0600
31,114,2023-11-30,completed,2024-02-14 14:30:45.855 -0600
32,115,2023-11-30,completed,2024-02-14 15:17:38.417 -0600
33,116,2023-11-30,completed,2024-02-15 13:30:25.531 -0600
34,118,2023-11-30,completed,2024-02-15 15:23:25.531 -0600
